"Title","Type_Episodes","Airing_Period","Members","Score"
"Code Geass: Hangyaku no Lelouch","TV (25 eps)","Oct 2006 - Jul 2007","2,325,853","8.70"
"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen","OVA (4 eps)","Feb 1999 - Sep 1999","282,303","8.70"
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen","TV (12 eps)","Jan 2017 - Mar 2017","192,209","8.70"
"Look Back","Movie (1 eps)","Jun 2024 - Jun 2024","122,177","8.69"
"Mushishi Zoku Shou","TV (10 eps)","Apr 2014 - Jun 2014","309,137","8.69"
"Mo Dao Zu Shi: Wanjie Pian","ONA (12 eps)","Aug 2021 - Oct 2021","85,835","8.68"
"Great Teacher Onizuka","TV (43 eps)","Jun 1999 - Sep 2000","859,743","8.68"
"Violet Evergarden","TV (13 eps)","Jan 2018 - Apr 2018","1,858,433","8.68"
"Hajime no Ippo: New Challenger","TV (26 eps)","Jan 2009 - Jul 2009","300,237","8.67"
"Howl no Ugoku Shiro","Movie (1 eps)","Nov 2004 - Nov 2004","1,394,954","8.67"
"Mononoke Hime","Movie (1 eps)","Jul 1997 - Jul 1997","1,300,718","8.66"
"Tian Guan Cifu Er","ONA (12 eps)","Oct 2023 - Jan 2024","51,456","8.66"
"Fate/stay night Movie: Heaven's Feel - III. Spring Song","Movie (1 eps)","Aug 2020 - Aug 2020","370,273","8.65"
"Mushishi","TV (26 eps)","Oct 2005 - Jun 2006","857,368","8.65"
"Mushoku Tensei: Isekai Ittara Honki Dasu Part 2","TV (12 eps)","Oct 2021 - Dec 2021","1,003,444","8.65"
"Odd Taxi","TV (13 eps)","Apr 2021 - Jun 2021","461,454","8.65"
"Made in Abyss","TV (13 eps)","Jul 2017 - Sep 2017","1,443,880","8.64"
"Natsume Yuujinchou Shi","TV (13 eps)","Jan 2012 - Mar 2012","253,029","8.64"
"Shigatsu wa Kimi no Uso","TV (22 eps)","Oct 2014 - Mar 2015","2,282,616","8.64"
"Shiguang Dailiren II","ONA (12 eps)","Jul 2023 - Sep 2023","131,105","8.63"
"Shingeki no Kyojin Season 3","TV (12 eps)","Jul 2018 - Oct 2018","2,470,370","8.63"
"Tengen Toppa Gurren Lagann","TV (27 eps)","Apr 2007 - Sep 2007","1,663,692","8.63"
"Bungou Stray Dogs 5th Season","TV (11 eps)","Jul 2023 - Sep 2023","212,880","8.63"
"Haikyuu!! Movie: Gomisuteba no Kessen","Movie (1 eps)","Feb 2024 - Feb 2024","164,670","8.63"
"Dandadan","TV (12 eps)","Oct 2024 - Dec 2024","562,360","8.62"
"Death Note","TV (37 eps)","Oct 2006 - Jun 2007","4,034,468","8.62"
"Haikyuu!! Second Season","TV (25 eps)","Oct 2015 - Mar 2016","1,481,616","8.62"
"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen","TV (12 eps)","Apr 2020 - Jun 2020","1,399,627","8.62"
"Made in Abyss: Retsujitsu no Ougonkyou","TV (12 eps)","Jul 2022 - Sep 2022","481,242","8.62"
"Ping Pong the Animation","TV (11 eps)","Apr 2014 - Jun 2014","409,506","8.62"
"Made in Abyss Movie 3: Fukaki Tamashii no Reimei","Movie (1 eps)","Jan 2020 - Jan 2020","490,847","8.61"
"Natsume Yuujinchou Roku","TV (11 eps)","Apr 2017 - Jun 2017","193,723","8.61"
"""Oshi no Ko"" 2nd Season","TV (13 eps)","Jul 2024 - Oct 2024","399,486","8.61"
"Cyberpunk: Edgerunners","ONA (10 eps)","Sep 2022 - Sep 2022","855,127","8.61"
"Dungeon Meshi","TV (24 eps)","Jan 2024 - Jun 2024","422,446","8.61"
"Hajime no Ippo: Rising","TV (25 eps)","Oct 2013 - Mar 2014","273,265","8.61"
"""Oshi no Ko""","TV (11 eps)","Apr 2023 - Jun 2023","904,806","8.60"
"Kenpuu Denki Berserk","TV (25 eps)","Oct 1997 - Apr 1998","699,312","8.60"
"Suzumiya Haruhi no Shoushitsu","Movie (1 eps)","Feb 2010 - Feb 2010","624,224","8.60"
"Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai","Movie (1 eps)","Jun 2019 - Jun 2019","745,325","8.59"
"Shin Evangelion Movie:||","Movie (1 eps)","Mar 2021 - Mar 2021","392,496","8.59"
"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen","Movie (1 eps)","Apr 2009 - Apr 2009","224,334","8.59"
"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze","TV (39 eps)","Oct 2018 - Jul 2019","1,072,954","8.58"
"Mushishi Zoku Shou: Suzu no Shizuku","Movie (1 eps)","May 2015 - May 2015","132,915","8.58"
"Natsume Yuujinchou Shichi","TV (12 eps)","Oct 2024 - Dec 2024","40,821","8.58"
"Jujutsu Kaisen","TV (24 eps)","Oct 2020 - Mar 2021","2,724,558","8.57"
"Natsume Yuujinchou San","TV (13 eps)","Jul 2011 - Sep 2011","260,439","8.57"
"Doupo Cangqiong: San Nian Zhi Yue","ONA (13 eps)","Oct 2021 - Jan 2022","8,584","8.57"
"Kimetsu no Yaiba Movie: Mugen Ressha-hen","Movie (1 eps)","Oct 2020 - Oct 2020","1,628,298","8.56"
"Kizumonogatari II: Nekketsu-hen","Movie (1 eps)","Aug 2016 - Aug 2016","462,189","8.56"
"Nana","TV (47 eps)","Apr 2006 - Mar 2007","709,323","8.56"
"Natsume Yuujinchou Go","TV (11 eps)","Oct 2016 - Dec 2016","194,134","8.56"
"Ookami Kodomo no Ame to Yuki","Movie (1 eps)","Jul 2012 - Jul 2012","833,302","8.56"
"Kimi no Suizou wo Tabetai","Movie (1 eps)","Sep 2018 - Sep 2018","1,019,513","8.55"
"Perfect Blue","Movie (1 eps)","Feb 1998 - Feb 1998","748,535","8.55"
"Haikyuu!! To the Top Part 2","TV (12 eps)","Oct 2020 - Dec 2020","860,092","8.55"
"Shingeki no Kyojin","TV (25 eps)","Apr 2013 - Sep 2013","4,086,552","8.55"
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Movie (1 eps)","Jul 1997 - Jul 1997","969,008","8.55"
"Shouwa Genroku Rakugo Shinjuu","TV (13 eps)","Jan 2016 - Apr 2016","299,134","8.55"
"Slam Dunk","TV (101 eps)","Oct 1993 - Mar 1996","314,721","8.55"
"Yojouhan Shinwa Taikei","TV (11 eps)","Apr 2010 - Jul 2010","466,538","8.55"
"Steins;Gate 0","TV (23 eps)","Apr 2018 - Sep 2018","901,159","8.54"
"Fate/Zero 2nd Season","TV (12 eps)","Apr 2012 - Jun 2012","1,145,083","8.54"
"Fruits Basket 2nd Season","TV (25 eps)","Apr 2020 - Sep 2020","539,008","8.54"
"JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3","ONA (14 eps)","Dec 2022 - Dec 2022","234,554","8.53"
"Kimi ni Todoke 3rd Season","ONA (5 eps)","Aug 2024 - Aug 2024","79,615","8.53"
"Mushishi: Hihamukage","TV Special (1 eps)","Jan 2014 - Jan 2014","144,301","8.53"
"Zoku Natsume Yuujinchou","TV (13 eps)","Jan 2009 - Mar 2009","255,618","8.53"
"Shingeki no Kyojin Season 2","TV (12 eps)","Apr 2017 - Jun 2017","2,824,158","8.52"
"Shoujo☆Kageki Revue Starlight Movie","Movie (1 eps)","Jun 2021 - Jun 2021","21,905","8.52"
"Bakuman. 3rd Season","TV (25 eps)","Oct 2012 - Mar 2013","336,638","8.52"
"Gintama Movie 1: Shinyaku Benizakura-hen","Movie (1 eps)","Apr 2010 - Apr 2010","168,998","8.52"
"Gintama. Porori-hen","TV (13 eps)","Oct 2017 - Dec 2017","209,059","8.52"
"Hotaru no Haka","Movie (1 eps)","Apr 1988 - Apr 1988","707,638","8.52"
"Sora yori mo Tooi Basho","TV (13 eps)","Jan 2018 - Mar 2018","523,727","8.51"
"Yuru Camp△ Season 2","TV (13 eps)","Jan 2021 - Apr 2021","237,024","8.51"
"Kara no Kyoukai Movie 5: Mujun Rasen","Movie (1 eps)","Aug 2008 - Aug 2008","244,347","8.51"
